rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id
Rank: 1,CAIN Shadrach,NRU,"Born: Jul 27, 1999",B.weight: 55.47,Group: A,1: 75,2: -80,3: 80,Total: 80,56kgMen,Snatch,397
Rank: 1,CAIN Shadrach,NRU,"Born: Jul 27, 1999",B.weight: 55.47,Group: A,1: 105,2: -110,3: -110,Total: 105,56kgMen,CleanJerk,397
Rank: 1,CAIN Shadrach,NRU,"Born: Jul 27, 1999",B.weight: 55.47,Group: A,Snatch: 80,CI&Jerk: 105,Total: 185,,56kgMen,Total,397
Rank: 1,QAQA Poama,FIJ,"Born: Mar 12, 1997",B.weight: 61.68,Group: A,1: 105,2: 109,3: -112,Total: 109,62kgMen,Snatch,397
Rank: 2,MOSES Ezekiel,NRU,"Born: Jul 02, 2001",B.weight: 61.34,Group: B,1: -85,2: 90,3: 95,Total: 95,62kgMen,Snatch,397
Rank: 3,BETERO Takirua,KIR,"Born: Jan 10, 1999",B.weight: 61.55,Group: B,1: 87,2: 92,3: -96,Total: 92,62kgMen,Snatch,397
Rank: 4,SCOTTY Brocka,NRU,"Born: Jul 25, 1999",B.weight: 61.41,Group: B,1: 80,2: -88,3: -88,Total: 80,62kgMen,Snatch,397
Rank: 1,QAQA Poama,FIJ,"Born: Mar 12, 1997",B.weight: 61.68,Group: A,1: 130,2: 135,3: -137,Total: 135,62kgMen,CleanJerk,397
Rank: 2,MOSES Ezekiel,NRU,"Born: Jul 02, 2001",B.weight: 61.34,Group: B,1: 120,2: -125,3: -125,Total: 120,62kgMen,CleanJerk,397
Rank: 3,BETERO Takirua,KIR,"Born: Jan 10, 1999",B.weight: 61.55,Group: B,1: -115,2: 115,3: -120,Total: 115,62kgMen,CleanJerk,397
Rank: 4,SCOTTY Brocka,NRU,"Born: Jul 25, 1999",B.weight: 61.41,Group: B,1: -110,2: 110,3: -113,Total: 110,62kgMen,CleanJerk,397
Rank: 1,QAQA Poama,FIJ,"Born: Mar 12, 1997",B.weight: 61.68,Group: A,Snatch: 109,CI&Jerk: 135,Total: 244,,62kgMen,Total,397
Rank: 2,MOSES Ezekiel,NRU,"Born: Jul 02, 2001",B.weight: 61.34,Group: B,Snatch: 95,CI&Jerk: 120,Total: 215,,62kgMen,Total,397
Rank: 3,BETERO Takirua,KIR,"Born: Jan 10, 1999",B.weight: 61.55,Group: B,Snatch: 92,CI&Jerk: 115,Total: 207,,62kgMen,Total,397
Rank: 4,SCOTTY Brocka,NRU,"Born: Jul 25, 1999",B.weight: 61.41,Group: B,Snatch: 80,CI&Jerk: 110,Total: 190,,62kgMen,Total,397
Rank: 1,KATOATAU Ruben,KIR,"Born: Feb 09, 1997",B.weight: 68.64,Group: A,1: 112,2: -117,3: 117,Total: 117,69kgMen,Snatch,397
Rank: 2,DONGOBIR Ramoun,NRU,"Born: Feb 28, 1997",B.weight: 68.39,Group: B,1: 95,2: 100,3: 103,Total: 103,69kgMen,Snatch,397
Rank: 3,DOGUAPE Larko,NRU,"Born: Jul 05, 2000",B.weight: 67.73,Group: B,1: -97,2: 97,3: 102,Total: 102,69kgMen,Snatch,397
Rank: 4,DANIELS Mitchell,AUS,"Born: Oct 29, 1997",B.weight: 68.04,Group: B,1: 90,2: 95,3: -98,Total: 95,69kgMen,Snatch,397
