rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id
Rank: 1,GARCIA BRITO Luis Alberto,DOM,"Born: Apr 19, 1995",B.weight: 56.00,Group: A,1: 110,2: 115,3: ---,Total: 115,56kgMen,Snatch,400
Rank: 2,CALDERON LICOURT Arley Lazaro,CUB,"Born: Feb 26, 1999",B.weight: 55.90,Group: A,1: 98,2: 101,3: 105,Total: 105,56kgMen,Snatch,400
Rank: 3,JOSEPH Edouard,HAI,"Born: Dec 24, 1989",B.weight: 56.00,Group: A,1: -97,2: 97,3: 101,Total: 101,56kgMen,Snatch,400
Rank: 4,GUEMEZ CEL Jefreey Jose,MEX,"Born: Oct 19, 1995",B.weight: 56.00,Group: A,1: -94,2: 94,3: 100,Total: 100,56kgMen,Snatch,400
Rank: 5,OLMEDO ALVAREZ Ruben Alexis,PUR,"Born: Mar 22, 1984",B.weight: 55.09,Group: A,1: 95,2: 98,3: -102,Total: 98,56kgMen,Snatch,400
Rank: 6,GUZMAN LOPEZ Leonardo Everardo,MEX,"Born: Dec 06, 1998",B.weight: 55.90,Group: A,1: 95,2: -99,3: -99,Total: 95,56kgMen,Snatch,400
Rank: 7,CRUZ LOPEZ Dario Enrique,GUA,"Born: Aug 23, 1997",B.weight: 56.00,Group: A,1: -94,2: 94,3: -98,Total: 94,56kgMen,Snatch,400
Rank: 8,HENRIQUEZ SERRANO Jonatan Francisco,ESA,"Born: Nov 07, 1994",B.weight: 55.10,Group: A,1: 85,2: 90,3: 92,Total: 92,56kgMen,Snatch,400
Rank: 9,LACAYO GONZALEZ Mith Roling,NCA,"Born: Oct 18, 1998",B.weight: 55.80,Group: A,1: 81,2: 86,3: -91,Total: 86,56kgMen,Snatch,400
Rank: ---,URREGO MEDINA Kevin Andres,COL,"Born: Jan 17, 1997",B.weight: 56.00,Group: A,1: ---,2: ---,3: ---,Total: ---,56kgMen,Snatch,400
Rank: 1,GARCIA BRITO Luis Alberto,DOM,"Born: Apr 19, 1995",B.weight: 56.00,Group: A,1: 135,2: ---,3: ---,Total: 135,56kgMen,CleanJerk,400
Rank: 2,CALDERON LICOURT Arley Lazaro,CUB,"Born: Feb 26, 1999",B.weight: 55.90,Group: A,1: 128,2: 132,3: -136,Total: 132,56kgMen,CleanJerk,400
Rank: 3,JOSEPH Edouard,HAI,"Born: Dec 24, 1989",B.weight: 56.00,Group: A,1: -128,2: -128,3: 128,Total: 128,56kgMen,CleanJerk,400
Rank: 4,GUEMEZ CEL Jefreey Jose,MEX,"Born: Oct 19, 1995",B.weight: 56.00,Group: A,1: 120,2: 125,3: -129,Total: 125,56kgMen,CleanJerk,400
Rank: 5,LACAYO GONZALEZ Mith Roling,NCA,"Born: Oct 18, 1998",B.weight: 55.80,Group: A,1: 108,2: 115,3: 121,Total: 121,56kgMen,CleanJerk,400
Rank: 6,GUZMAN LOPEZ Leonardo Everardo,MEX,"Born: Dec 06, 1998",B.weight: 55.90,Group: A,1: 120,2: -125,3: -126,Total: 120,56kgMen,CleanJerk,400
Rank: 7,CRUZ LOPEZ Dario Enrique,GUA,"Born: Aug 23, 1997",B.weight: 56.00,Group: A,1: -120,2: 120,3: -126,Total: 120,56kgMen,CleanJerk,400
Rank: 8,HENRIQUEZ SERRANO Jonatan Francisco,ESA,"Born: Nov 07, 1994",B.weight: 55.10,Group: A,1: 110,2: 115,3: 118,Total: 118,56kgMen,CleanJerk,400
Rank: 9,OLMEDO ALVAREZ Ruben Alexis,PUR,"Born: Mar 22, 1984",B.weight: 55.09,Group: A,1: 117,2: -121,3: -121,Total: 117,56kgMen,CleanJerk,400
Rank: ---,URREGO MEDINA Kevin Andres,COL,"Born: Jan 17, 1997",B.weight: 56.00,Group: A,1: ---,2: ---,3: ---,Total: ---,56kgMen,CleanJerk,400
Rank: 1,GARCIA BRITO Luis Alberto,DOM,"Born: Apr 19, 1995",B.weight: 56.00,Group: A,Snatch: 115,CI&Jerk: 135,Total: 250,,56kgMen,Total,400
Rank: 2,CALDERON LICOURT Arley Lazaro,CUB,"Born: Feb 26, 1999",B.weight: 55.90,Group: A,Snatch: 105,CI&Jerk: 132,Total: 237,,56kgMen,Total,400
Rank: 3,JOSEPH Edouard,HAI,"Born: Dec 24, 1989",B.weight: 56.00,Group: A,Snatch: 101,CI&Jerk: 128,Total: 229,,56kgMen,Total,400
Rank: 4,GUEMEZ CEL Jefreey Jose,MEX,"Born: Oct 19, 1995",B.weight: 56.00,Group: A,Snatch: 100,CI&Jerk: 125,Total: 225,,56kgMen,Total,400
Rank: 5,OLMEDO ALVAREZ Ruben Alexis,PUR,"Born: Mar 22, 1984",B.weight: 55.09,Group: A,Snatch: 98,CI&Jerk: 117,Total: 215,,56kgMen,Total,400
Rank: 6,GUZMAN LOPEZ Leonardo Everardo,MEX,"Born: Dec 06, 1998",B.weight: 55.90,Group: A,Snatch: 95,CI&Jerk: 120,Total: 215,,56kgMen,Total,400
