total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,date_of_birth,age,gender,nation,group,bw,category,dq,old_classes,event_id,event,date,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,1,1,DJURAEV Akbar,3898,1999-10-08,22.8,M,UZB,A,121.6,+109 kg Men,0,0,553,5th Islamic Solidarity Games,2022-08-11,-190,190,200,200,231,242,246,246,446
2,3,2,YOUSEFI Alireza,16316,2003-08-27,19,M,IRI,A,188.6,+109 kg Men,0,0,553,5th Islamic Solidarity Games,2022-08-11,170,176,181,181,230,-241,-241,230,411
3,2,3,TOYCHYYEV Hojamuhammet,15061,1992-01-16,30.6,M,TKM,A,146.26,+109 kg Men,0,0,553,5th Islamic Solidarity Games,2022-08-11,175,180,184,184,-215,215,225,225,409
4,4,4,BUTT Muhammad Nooh Dastgir,2428,1998-02-03,24.5,M,PAK,A,166.2,+109 kg Men,0,0,553,5th Islamic Solidarity Games,2022-08-11,162,-170,NA,162,216,-226,-226,216,378
5,5,5,AL RADHI HASSAN ASAAD M,492,2001-02-03,21.5,M,KSA,A,134,+109 kg Men,0,0,553,5th Islamic Solidarity Games,2022-08-11,150,157,161,161,191,200,-205,200,361
1,1,1,MUPTILDA Aizada,10363,1998-04-23,24.3,W,KAZ,A,124.76,+87 kg Women,0,0,553,5th Islamic Solidarity Games,2022-08-11,112,116,-119,116,146,150,NA,150,266
2,2,2,KOVALCHUK Lyubov,7882,2001-05-10,21.3,W,KAZ,A,126.18,+87 kg Women,0,0,553,5th Islamic Solidarity Games,2022-08-11,108,112,114,114,138,-145,147,147,261
3,3,3,AKMAL Nurul,417,1993-02-12,29.5,W,INA,A,121.22,+87 kg Women,0,0,553,5th Islamic Solidarity Games,2022-08-11,105,110,113,113,142,-148,-148,142,255
4,4,4,GUNAL Melike,5519,1998-04-05,24.4,W,TUR,A,111.86,+87 kg Women,0,0,553,5th Islamic Solidarity Games,2022-08-11,105,109,-111,109,125,-130,130,130,239
5,5,5,YOUSEFIABPARDEH Fatemeh,16317,1994-05-09,28.3,W,IRI,A,121.42,+87 kg Women,0,0,553,5th Islamic Solidarity Games,2022-08-11,89,94,-97,94,120,127,-130,127,221
6,6,6,BAHTYYAROVA Sangiza,1562,2001-07-23,21.1,W,TKM,A,94.58,+87 kg Women,0,0,553,5th Islamic Solidarity Games,2022-08-11,80,-84,85,85,103,106,110,110,195
7,7,7,MOMENI Estelle Adele,10094,1993-11-15,28.7,W,CMR,A,96.6,+87 kg Women,0,0,553,5th Islamic Solidarity Games,2022-08-11,-78,78,81,81,95,-100,-100,95,176
8,8,8,RAFA Mst Sohayba Rahman,12233,2007-01-08,15.6,W,BAN,A,94.88,+87 kg Women,0,0,553,5th Islamic Solidarity Games,2022-08-11,62,64,-66,64,78,81,84,84,148
1,1,1,MOTAMEDI SEDEH Rasoul,10230,1998-11-09,23.8,M,IRI,A,101.42,102 kg Men,0,0,553,5th Islamic Solidarity Games,2022-08-11,171,-175,177,177,217,223,-232,223,400
2,6,2,ANTROPOV Artyom,1139,2000-01-23,22.5,M,KAZ,A,101.88,102 kg Men,0,0,553,5th Islamic Solidarity Games,2022-08-11,160,164,-167,164,215,222,-225,222,386
3,4,3,RASULBEKOV Bekdoolot,12392,1996-09-12,25.9,M,KGZ,A,101.7,102 kg Men,0,0,553,5th Islamic Solidarity Games,2022-08-11,-163,163,169,169,209,216,-221,216,385
4,2,5,DADASHBAYLI Dadash,3459,1996-07-15,26.1,M,AZE,A,101.48,102 kg Men,0,0,553,5th Islamic Solidarity Games,2022-08-11,171,174,-177,174,203,210,-215,210,384
5,5,4,HOGHOUGHIOSGOUEI Amir,6077,1994-02-17,28.5,M,IRI,A,101.12,102 kg Men,0,0,553,5th Islamic Solidarity Games,2022-08-11,165,-171,-173,165,202,211,-217,211,376
6,3,7,SHAROFIDDIN Amriddinov,13718,2002-06-28,20.1,M,UZB,A,101.84,102 kg Men,0,0,553,5th Islamic Solidarity Games,2022-08-11,163,168,172,172,191,198,-201,198,370
7,8,6,ALI Ahmed Alkhazal,703,1998-08-21,24,M,KSA,A,101.24,102 kg Men,0,0,553,5th Islamic Solidarity Games,2022-08-11,161,-165,-166,161,193,200,-205,200,361
8,7,8,TOUAIRI Aymen,15043,1998-09-11,23.9,M,ALG,A,101.46,102 kg Men,0,0,553,5th Islamic Solidarity Games,2022-08-11,156,162,-166,162,197,-202,NA,197,359
9,9,9,DEMIRCI Onur,3738,2003-08-07,19,M,TUR,A,101.84,102 kg Men,0,0,553,5th Islamic Solidarity Games,2022-08-11,152,-157,-161,152,181,-190,-190,181,333
10,10,10,BARDE Patrick Olawale,1678,2001-12-10,20.7,M,NGR,A,101.88,102 kg Men,0,0,553,5th Islamic Solidarity Games,2022-08-11,130,-135,140,140,165,-170,-170,165,305
1,1,1,NURUDINOV Ruslan,10924,1991-11-24,30.7,M,UZB,A,108.9,109 kg Men,0,0,553,5th Islamic Solidarity Games,2022-08-11,177,182,187,187,220,230,NA,230,417
2,3,2,JAN Peyman,6600,1996-01-04,26.6,M,IRI,A,108.78,109 kg Men,0,0,553,5th Islamic Solidarity Games,2022-08-11,-165,166,-170,166,201,206,216,216,382
3,2,3,KARAMI Mehdi,7106,1998-10-15,23.8,M,IRI,A,108.92,109 kg Men,0,0,553,5th Islamic Solidarity Games,2022-08-11,163,167,173,173,201,-206,207,207,380
4,4,4,NGADJA NYABEYEU Junior Periclex,10691,1993-06-16,29.2,M,CMR,A,105.92,109 kg Men,0,0,553,5th Islamic Solidarity Games,2022-08-11,157,162,165,165,200,-205,205,205,370
