rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id
Rank: 1,KGASWANE Kgotla Alphius N,BOT,"Born: Jul 07, 2000",B.weight: 54.64,1: 65,2: -70,3: 70,Total: 70,,55kgMen,Snatch,491
Rank: 1,KGASWANE Kgotla Alphius N,BOT,"Born: Jul 07, 2000",B.weight: 54.64,1: 90,2: 95,3: -99,Total: 95,,55kgMen,CleanJerk,491
Rank: 1,KGASWANE Kgotla Alphius N,BOT,"Born: Jul 07, 2000",B.weight: 54.64,Snatch: 70,CI&Jerk: 95,Total: 165,,,55kgMen,Total,491
Rank: 1,LI Fabin,CHN,"Born: Jan 15, 1993",B.weight: 60.91,1: 136,2: 140,3: -143,Total: 140,,61kgMen,Snatch,491
Rank: 2,QIN Fulin,CHN,"Born: Jan 12, 1994",B.weight: 60.73,1: 130,2: 135,3: -138,Total: 135,,61kgMen,Snatch,491
Rank: 3,KAO Chan-Hung,TPE,"Born: Oct 03, 1993",B.weight: 60.84,1: 120,2: -123,3: 123,Total: 123,,61kgMen,Snatch,491
Rank: 4,CENIZA John Fabuar,PHI,"Born: Feb 07, 1998",B.weight: 60.20,1: 110,2: 115,3: -118,Total: 115,,61kgMen,Snatch,491
Rank: 5,MONTES GONGORA Jose Lino,MEX,"Born: Apr 18, 1989",B.weight: 60.29,1: 105,2: 110,3: 112,Total: 112,,61kgMen,Snatch,491
Rank: 1,QIN Fulin,CHN,"Born: Jan 12, 1994",B.weight: 60.73,1: 160,2: 171,3: -175,Total: 171,,61kgMen,CleanJerk,491
Rank: 2,LI Fabin,CHN,"Born: Jan 15, 1993",B.weight: 60.91,1: 165,2: 171,3: -175,Total: 171,,61kgMen,CleanJerk,491
Rank: 3,KAO Chan-Hung,TPE,"Born: Oct 03, 1993",B.weight: 60.84,1: 150,2: 155,3: -160,Total: 155,,61kgMen,CleanJerk,491
Rank: 4,CENIZA John Fabuar,PHI,"Born: Feb 07, 1998",B.weight: 60.20,1: 140,2: 145,3: 150,Total: 150,,61kgMen,CleanJerk,491
Rank: 5,MONTES GONGORA Jose Lino,MEX,"Born: Apr 18, 1989",B.weight: 60.29,1: 135,2: 140,3: 143,Total: 143,,61kgMen,CleanJerk,491
Rank: 1,LI Fabin,CHN,"Born: Jan 15, 1993",B.weight: 60.91,Snatch: 140,CI&Jerk: 171,Total: 311,,,61kgMen,Total,491
Rank: 2,QIN Fulin,CHN,"Born: Jan 12, 1994",B.weight: 60.73,Snatch: 135,CI&Jerk: 171,Total: 306,,,61kgMen,Total,491
Rank: 3,KAO Chan-Hung,TPE,"Born: Oct 03, 1993",B.weight: 60.84,Snatch: 123,CI&Jerk: 155,Total: 278,,,61kgMen,Total,491
Rank: 4,CENIZA John Fabuar,PHI,"Born: Feb 07, 1998",B.weight: 60.20,Snatch: 115,CI&Jerk: 150,Total: 265,,,61kgMen,Total,491
Rank: 5,MONTES GONGORA Jose Lino,MEX,"Born: Apr 18, 1989",B.weight: 60.29,Snatch: 112,CI&Jerk: 143,Total: 255,,,61kgMen,Total,491
Rank: 1,FENG Lyudong,CHN,"Born: Oct 23, 1991",B.weight: 66.82,1: 146,2: -151,3: 151,Total: 151,,67kgMen,Snatch,491
Rank: 2,CHEN Lijun,CHN,"Born: Feb 08, 1993",B.weight: 66.63,1: 140,2: 145,3: 150,Total: 150,,67kgMen,Snatch,491
Rank: 3,KONNAI Mitsunori,JPN,"Born: Mar 14, 1996",B.weight: 66.99,1: 135,2: 140,3: -144,Total: 140,,67kgMen,Snatch,491
Rank: 4,PAK Jong Ju,PRK,"Born: Mar 14, 1997",B.weight: 66.76,1: -140,2: 140,3: -144,Total: 140,,67kgMen,Snatch,491
Rank: 5,HAN Myeongmok,KOR,"Born: Feb 01, 1991",B.weight: 66.98,1: 130,2: -138,3: 138,Total: 138,,67kgMen,Snatch,491
Rank: 6,MUNOZ MARTINEZ Jonathan Antonio,MEX,"Born: Nov 10, 1995",B.weight: 66.89,1: 120,2: 130,3: -135,Total: 130,,67kgMen,Snatch,491
Rank: 7,ENKHJARGAL Munkhdul,MGL,"Born: Sep 26, 1985",B.weight: 66.98,1: 115,2: 121,3: 124,Total: 124,,67kgMen,Snatch,491
Rank: 1,PAK Jong Ju,PRK,"Born: Mar 14, 1997",B.weight: 66.76,1: 175,2: -182,3: -182,Total: 175,,67kgMen,CleanJerk,491
Rank: 2,KONNAI Mitsunori,JPN,"Born: Mar 14, 1996",B.weight: 66.99,1: 165,2: 170,3: 175,Total: 175,,67kgMen,CleanJerk,491
Rank: 3,FENG Lyudong,CHN,"Born: Oct 23, 1991",B.weight: 66.82,1: 170,2: -175,3: ---,Total: 170,,67kgMen,CleanJerk,491
Rank: 4,CHEN Lijun,CHN,"Born: Feb 08, 1993",B.weight: 66.63,1: 170,2: -180,3: -180,Total: 170,,67kgMen,CleanJerk,491
Rank: 5,MUNOZ MARTINEZ Jonathan Antonio,MEX,"Born: Nov 10, 1995",B.weight: 66.89,1: 145,2: 155,3: ---,Total: 155,,67kgMen,CleanJerk,491
Rank: 6,ENKHJARGAL Munkhdul,MGL,"Born: Sep 26, 1985",B.weight: 66.98,1: 138,2: -148,3: -148,Total: 138,,67kgMen,CleanJerk,491
Rank: ---,HAN Myeongmok,KOR,"Born: Feb 01, 1991",B.weight: 66.98,1: ---,2: ---,3: ---,Total: ---,,67kgMen,CleanJerk,491
Rank: 1,FENG Lyudong,CHN,"Born: Oct 23, 1991",B.weight: 66.82,Snatch: 151,CI&Jerk: 170,Total: 321,,,67kgMen,Total,491
Rank: 2,CHEN Lijun,CHN,"Born: Feb 08, 1993",B.weight: 66.63,Snatch: 150,CI&Jerk: 170,Total: 320,,,67kgMen,Total,491
Rank: 3,PAK Jong Ju,PRK,"Born: Mar 14, 1997",B.weight: 66.76,Snatch: 140,CI&Jerk: 175,Total: 315,,,67kgMen,Total,491
Rank: 4,KONNAI Mitsunori,JPN,"Born: Mar 14, 1996",B.weight: 66.99,Snatch: 140,CI&Jerk: 175,Total: 315,,,67kgMen,Total,491
Rank: 5,MUNOZ MARTINEZ Jonathan Antonio,MEX,"Born: Nov 10, 1995",B.weight: 66.89,Snatch: 130,CI&Jerk: 155,Total: 285,,,67kgMen,Total,491
Rank: 6,ENKHJARGAL Munkhdul,MGL,"Born: Sep 26, 1985",B.weight: 66.98,Snatch: 124,CI&Jerk: 138,Total: 262,,,67kgMen,Total,491
Rank: ---,HAN Myeongmok,KOR,"Born: Feb 01, 1991",B.weight: 66.98,Snatch: 138,CI&Jerk: ---,Total: ---,,,67kgMen,Total,491
Rank: 1,SHI Zhiyong,CHN,"Born: Oct 10, 1993",B.weight: 72.91,1: 155,2: 160,3: 165,Total: 165,,73kgMen,Snatch,491
Rank: 2,YUAN Chengfei,CHN,"Born: Jul 14, 1995",B.weight: 72.97,1: -149,2: 149,3: 154,Total: 154,,73kgMen,Snatch,491
Rank: 3,O Kang Chol,PRK,"Born: Sep 16, 1993",B.weight: 72.69,1: 145,2: -149,3: 149,Total: 149,,73kgMen,Snatch,491
Rank: 4,MIYAMOTO Masanori,JPN,"Born: Feb 03, 1997",B.weight: 72.63,1: 140,2: 145,3: 148,Total: 148,,73kgMen,Snatch,491
Rank: 5,MEREDOV Maksad,TKM,"Born: Jun 23, 2000",B.weight: 72.70,1: 138,2: -142,3: 142,Total: 142,,73kgMen,Snatch,491
Rank: 6,ERGASHEV Adkhamjon,UZB,"Born: Mar 12, 1999",B.weight: 70.96,1: -140,2: 140,3: -146,Total: 140,,73kgMen,Snatch,491
Rank: 7,YOKUBOV Doston,UZB,"Born: Apr 05, 1995",B.weight: 72.79,1: 135,2: -140,3: -140,Total: 135,,73kgMen,Snatch,491
Rank: 1,SHI Zhiyong,CHN,"Born: Oct 10, 1993",B.weight: 72.91,1: 187,2: 192,3: 198,Total: 198,,73kgMen,CleanJerk,491
Rank: 2,MIYAMOTO Masanori,JPN,"Born: Feb 03, 1997",B.weight: 72.63,1: 178,2: 183,3: 187,Total: 187,,73kgMen,CleanJerk,491
Rank: 3,YUAN Chengfei,CHN,"Born: Jul 14, 1995",B.weight: 72.97,1: 186,2: -191,3: -191,Total: 186,,73kgMen,CleanJerk,491
Rank: 4,O Kang Chol,PRK,"Born: Sep 16, 1993",B.weight: 72.69,1: 179,2: -184,3: -184,Total: 179,,73kgMen,CleanJerk,491
Rank: 5,MEREDOV Maksad,TKM,"Born: Jun 23, 2000",B.weight: 72.70,1: 173,2: 178,3: -181,Total: 178,,73kgMen,CleanJerk,491
Rank: 6,ERGASHEV Adkhamjon,UZB,"Born: Mar 12, 1999",B.weight: 70.96,1: 172,2: 177,3: -181,Total: 177,,73kgMen,CleanJerk,491
Rank: 7,YOKUBOV Doston,UZB,"Born: Apr 05, 1995",B.weight: 72.79,1: 175,2: -180,3: -183,Total: 175,,73kgMen,CleanJerk,491
Rank: 1,SHI Zhiyong,CHN,"Born: Oct 10, 1993",B.weight: 72.91,Snatch: 165,CI&Jerk: 198,Total: 363,,,73kgMen,Total,491
Rank: 2,YUAN Chengfei,CHN,"Born: Jul 14, 1995",B.weight: 72.97,Snatch: 154,CI&Jerk: 186,Total: 340,,,73kgMen,Total,491
Rank: 3,MIYAMOTO Masanori,JPN,"Born: Feb 03, 1997",B.weight: 72.63,Snatch: 148,CI&Jerk: 187,Total: 335,,,73kgMen,Total,491
Rank: 4,O Kang Chol,PRK,"Born: Sep 16, 1993",B.weight: 72.69,Snatch: 149,CI&Jerk: 179,Total: 328,,,73kgMen,Total,491
Rank: 5,MEREDOV Maksad,TKM,"Born: Jun 23, 2000",B.weight: 72.70,Snatch: 142,CI&Jerk: 178,Total: 320,,,73kgMen,Total,491
Rank: 6,ERGASHEV Adkhamjon,UZB,"Born: Mar 12, 1999",B.weight: 70.96,Snatch: 140,CI&Jerk: 177,Total: 317,,,73kgMen,Total,491
Rank: 7,YOKUBOV Doston,UZB,"Born: Apr 05, 1995",B.weight: 72.79,Snatch: 135,CI&Jerk: 175,Total: 310,,,73kgMen,Total,491
Rank: 1,LI Dayin,CHN,"Born: Feb 12, 1998",B.weight: 80.88,1: 165,2: -171,3: 171,Total: 171,,81kgMen,Snatch,491
Rank: 2,LYU Xiaojun,CHN,"Born: Jul 27, 1984",B.weight: 80.02,1: -160,2: 160,3: -170,Total: 160,,81kgMen,Snatch,491
Rank: 3,REJEPOV Rejepbay,TKM,"Born: Feb 23, 1992",B.weight: 80.05,1: 153,2: 156,3: -159,Total: 156,,81kgMen,Snatch,491
Rank: 4,CHOE Jon Wi,PRK,"Born: Jun 29, 1993",B.weight: 79.76,1: 150,2: -155,3: 155,Total: 155,,81kgMen,Snatch,491
Rank: 5,TOSHTEMIROV Mukhammadkodir,UZB,"Born: Sep 17, 2001",B.weight: 77.96,1: 140,2: 145,3: -151,Total: 145,,81kgMen,Snatch,491
Rank: 6,MCTAGGART Cameron David,NZL,"Born: Sep 30, 1997",B.weight: 80.98,1: 132,2: 136,3: -140,Total: 136,,81kgMen,Snatch,491
Rank: 7,BOB Kabuati Silas,MHL,"Born: Oct 19, 1994",B.weight: 80.55,1: 120,2: 125,3: 130,Total: 130,,81kgMen,Snatch,491
Rank: ---,WON Jeongsik,KOR,"Born: Dec 09, 1990",B.weight: 78.98,1: -130,2: ---,3: ---,Total: ---,,81kgMen,Snatch,491
Rank: 1,LI Dayin,CHN,"Born: Feb 12, 1998",B.weight: 80.88,1: 190,2: 195,3: 200,Total: 200,,81kgMen,CleanJerk,491
Rank: 2,LYU Xiaojun,CHN,"Born: Jul 27, 1984",B.weight: 80.02,1: -190,2: 190,3: -208,Total: 190,,81kgMen,CleanJerk,491
Rank: 3,REJEPOV Rejepbay,TKM,"Born: Feb 23, 1992",B.weight: 80.05,1: 181,2: -190,3: -191,Total: 181,,81kgMen,CleanJerk,491
Rank: 4,CHOE Jon Wi,PRK,"Born: Jun 29, 1993",B.weight: 79.76,1: -180,2: -180,3: 180,Total: 180,,81kgMen,CleanJerk,491
Rank: 5,TOSHTEMIROV Mukhammadkodir,UZB,"Born: Sep 17, 2001",B.weight: 77.96,1: 165,2: 170,3: -175,Total: 170,,81kgMen,CleanJerk,491
Rank: 6,MCTAGGART Cameron David,NZL,"Born: Sep 30, 1997",B.weight: 80.98,1: 164,2: -169,3: -169,Total: 164,,81kgMen,CleanJerk,491
Rank: 7,BOB Kabuati Silas,MHL,"Born: Oct 19, 1994",B.weight: 80.55,1: -155,2: 155,3: -165,Total: 155,,81kgMen,CleanJerk,491
Rank: ---,WON Jeongsik,KOR,"Born: Dec 09, 1990",B.weight: 78.98,1: ---,2: ---,3: ---,Total: ---,,81kgMen,CleanJerk,491
Rank: 1,LI Dayin,CHN,"Born: Feb 12, 1998",B.weight: 80.88,Snatch: 171,CI&Jerk: 200,Total: 371,,,81kgMen,Total,491
Rank: 2,LYU Xiaojun,CHN,"Born: Jul 27, 1984",B.weight: 80.02,Snatch: 160,CI&Jerk: 190,Total: 350,,,81kgMen,Total,491
Rank: 3,REJEPOV Rejepbay,TKM,"Born: Feb 23, 1992",B.weight: 80.05,Snatch: 156,CI&Jerk: 181,Total: 337,,,81kgMen,Total,491
Rank: 4,CHOE Jon Wi,PRK,"Born: Jun 29, 1993",B.weight: 79.76,Snatch: 155,CI&Jerk: 180,Total: 335,,,81kgMen,Total,491
Rank: 5,TOSHTEMIROV Mukhammadkodir,UZB,"Born: Sep 17, 2001",B.weight: 77.96,Snatch: 145,CI&Jerk: 170,Total: 315,,,81kgMen,Total,491
Rank: 6,MCTAGGART Cameron David,NZL,"Born: Sep 30, 1997",B.weight: 80.98,Snatch: 136,CI&Jerk: 164,Total: 300,,,81kgMen,Total,491
Rank: 7,BOB Kabuati Silas,MHL,"Born: Oct 19, 1994",B.weight: 80.55,Snatch: 130,CI&Jerk: 155,Total: 285,,,81kgMen,Total,491
Rank: ---,WON Jeongsik,KOR,"Born: Dec 09, 1990",B.weight: 78.98,Snatch: ---,CI&Jerk: ---,Total: ---,,,81kgMen,Total,491
Rank: 1,YU Dongju,KOR,"Born: Aug 19, 1993",B.weight: 88.64,1: -160,2: 160,3: -165,Total: 160,,89kgMen,Snatch,491
Rank: 2,ZAFARJONOV Sarvarbek,UZB,"Born: Jul 26, 2000",B.weight: 84.36,1: -150,2: 150,3: 156,Total: 156,,89kgMen,Snatch,491
Rank: 3,YAMAMOTO Toshiki,JPN,"Born: Sep 08, 1991",B.weight: 88.82,1: 155,2: -160,3: -160,Total: 155,,89kgMen,Snatch,491
Rank: 4,VAKURUIVALU Timothy Victor Tuitoga,FIJ,"Born: Sep 16, 1999",B.weight: 86.34,1: 107,2: 112,3: -117,Total: 112,,89kgMen,Snatch,491
Rank: 1,YU Dongju,KOR,"Born: Aug 19, 1993",B.weight: 88.64,1: 200,2: -205,3: 205,Total: 205,,89kgMen,CleanJerk,491
Rank: 2,YAMAMOTO Toshiki,JPN,"Born: Sep 08, 1991",B.weight: 88.82,1: -195,2: 195,3: -211,Total: 195,,89kgMen,CleanJerk,491
Rank: 3,ZAFARJONOV Sarvarbek,UZB,"Born: Jul 26, 2000",B.weight: 84.36,1: 180,2: 190,3: -196,Total: 190,,89kgMen,CleanJerk,491
Rank: 4,VAKURUIVALU Timothy Victor Tuitoga,FIJ,"Born: Sep 16, 1999",B.weight: 86.34,1: 133,2: -135,3: -135,Total: 133,,89kgMen,CleanJerk,491
Rank: 1,YU Dongju,KOR,"Born: Aug 19, 1993",B.weight: 88.64,Snatch: 160,CI&Jerk: 205,Total: 365,,,89kgMen,Total,491
Rank: 2,YAMAMOTO Toshiki,JPN,"Born: Sep 08, 1991",B.weight: 88.82,Snatch: 155,CI&Jerk: 195,Total: 350,,,89kgMen,Total,491
Rank: 3,ZAFARJONOV Sarvarbek,UZB,"Born: Jul 26, 2000",B.weight: 84.36,Snatch: 156,CI&Jerk: 190,Total: 346,,,89kgMen,Total,491
Rank: 4,VAKURUIVALU Timothy Victor Tuitoga,FIJ,"Born: Sep 16, 1999",B.weight: 86.34,Snatch: 112,CI&Jerk: 133,Total: 245,,,89kgMen,Total,491
Rank: 1,CHEN Po-Jen,TPE,"Born: May 11, 1998",B.weight: 95.65,1: 165,2: 170,3: 175,Total: 175,,96kgMen,Snatch,491
Rank: 2,TIAN Tao,CHN,"Born: Apr 08, 1994",B.weight: 95.46,1: 165,2: -170,3: 175,Total: 175,,96kgMen,Snatch,491
Rank: 3,VALLENILLA SANCHEZ Keydomar Giovanni,VEN,"Born: Oct 08, 1999",B.weight: 94.01,1: 155,2: 162,3: 166,Total: 166,,96kgMen,Snatch,491
Rank: 4,JANG Yeonhak,KOR,"Born: Feb 14, 1997",B.weight: 95.92,1: -162,2: 165,3: -170,Total: 165,,96kgMen,Snatch,491
Rank: 5,HAN Junghoon,KOR,"Born: Aug 28, 1990",B.weight: 95.69,1: 151,2: -156,3: 156,Total: 156,,96kgMen,Snatch,491
Rank: 6,OPELOGE Don,SAM,"Born: May 13, 1999",B.weight: 95.05,1: -155,2: -155,3: 155,Total: 155,,96kgMen,Snatch,491
Rank: 7,ARIAS MOSQUERA Jeyson Alonso,VEN,"Born: Sep 09, 1993",B.weight: 95.70,1: -150,2: 150,3: -160,Total: 150,,96kgMen,Snatch,491
Rank: 1,TIAN Tao,CHN,"Born: Apr 08, 1994",B.weight: 95.46,1: 215,2: 225,3: -232,Total: 225,,96kgMen,CleanJerk,491
