total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,date_of_birth,age,gender,nation,group,bw,category,dq,old_classes,event_id,event,date,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,1,1,MINASYAN Gor,8466,1994-10-25,22.816438356164383,M,ARM,A,138.84,+105 kg Men,0,1,391,29th SUMMER UNIVERSIADE,2017-08-19,195,200,-206,200,-230,230,-235,230,430
2,2,2,CHEN Shih-Chieh,5115,1989-11-27,27.726027397260275,M,TPE,A,151.63,+105 kg Men,0,1,391,29th SUMMER UNIVERSIADE,2017-08-19,180,190,-196,190,225,-241,-241,225,415
3,3,3,HWANG Wooman,9009,1995-07-12,22.104109589041094,M,KOR,A,130.67,+105 kg Men,0,1,391,29th SUMMER UNIVERSIADE,2017-08-19,178,183,-187,183,208,-216,216,216,399
4,4,4,DADRASASL Mohsen,8269,1994-07-16,23.09315068493151,M,IRI,A,161.17,+105 kg Men,0,1,391,29th SUMMER UNIVERSIADE,2017-08-19,176,180,-183,180,212,-220,-220,212,392
5,6,6,BUDEK Przemyslaw,6501,1992-04-04,25.375342465753423,M,POL,A,118.76,+105 kg Men,0,1,391,29th SUMMER UNIVERSIADE,2017-08-19,170,175,-181,175,210,-218,-218,210,385
6,5,9,PROCHOROW Alexej Dmitrievic,5347,1990-03-30,27.389041095890413,M,GER,A,131.08,+105 kg Men,0,1,391,29th SUMMER UNIVERSIADE,2017-08-19,170,175,-180,175,195,203,208,208,383
7,11,5,PROSHYNSKYI Mykyta,9133,1995-09-14,21.92876712328767,M,UKR,A,138.74,+105 kg Men,0,1,391,29th SUMMER UNIVERSIADE,2017-08-19,165,170,-175,170,205,211,-215,211,381
8,7,11,CHINEN Kosuke,9348,1996-01-06,21.616438356164384,M,JPN,A,144.37,+105 kg Men,0,1,391,29th SUMMER UNIVERSIADE,2017-08-19,170,175,-180,175,205,-213,-215,205,380
10,9,10,MURAKAMI Eishiro,9064,1995-08-08,22.03013698630137,M,JPN,A,136.24,+105 kg Men,0,1,391,29th SUMMER UNIVERSIADE,2017-08-19,165,171,-176,171,201,206,-211,206,377
11,10,12,KOBETS Maksym,9605,1996-05-09,21.279452054794522,M,UKR,A,119.39,+105 kg Men,0,1,391,29th SUMMER UNIVERSIADE,2017-08-19,165,170,-175,170,200,205,-208,205,375
