total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,date_of_birth,age,gender,nation,group,bw,category,dq,old_classes,event_id,event,date,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,1,2,ALBEGOV Ruslan,4286,1988-01-26,27.876712328767123,M,RUS,A,157.9,+105 kg Men,0,1,342,IWF GRAND PRIX 5th RUSSIAN FEDERATION PRESIDENT'S CUP,2015-12-12,195,205,-211,205,235,-265,-265,235,440
2,2,4,MINASYAN Gor,8466,1994-10-25,21.131147540983605,M,ARM,A,142.04,+105 kg Men,0,1,342,IWF GRAND PRIX 5th RUSSIAN FEDERATION PRESIDENT'S CUP,2015-12-12,190,-195,195,195,225,-230,230,230,425
3,6,1,ORSAG Jiri,4722,1989-01-05,26.934246575342467,M,CZE,A,122.78,+105 kg Men,0,1,342,IWF GRAND PRIX 5th RUSSIAN FEDERATION PRESIDENT'S CUP,2015-12-12,180,-185,-187,180,221,226,239,239,419
4,3,3,AI Yunan,5982,1991-06-21,24.475409836065573,M,CHN,A,149.2,+105 kg Men,0,1,342,IWF GRAND PRIX 5th RUSSIAN FEDERATION PRESIDENT'S CUP,2015-12-12,181,-186,188,188,221,226,231,231,419
5,5,5,KAPLIN Dmitriy,4487,1988-07-27,27.37704918032787,M,KAZ,A,124.08,+105 kg Men,0,1,342,IWF GRAND PRIX 5th RUSSIAN FEDERATION PRESIDENT'S CUP,2015-12-12,175,-180,181,181,205,-216,220,220,401
6,4,6,"NAGY Peter",3454,1986-01-16,29.904109589041095,M,HUN,A,153.76,+105 kg Men,0,1,342,IWF GRAND PRIX 5th RUSSIAN FEDERATION PRESIDENT'S CUP,2015-12-12,175,182,-188,182,210,218,-224,218,400
7,8,8,SARAIVA REIS Fernando,5310,1990-03-10,25.756830601092897,M,BRA,A,150.7,+105 kg Men,0,1,342,IWF GRAND PRIX 5th RUSSIAN FEDERATION PRESIDENT'S CUP,2015-12-12,180,-188,-189,180,212,-220,NA,212,392
8,9,7,SAVCHUK Antoniy,9242,1995-11-20,20.060109289617486,M,RUS,A,137.4,+105 kg Men,0,1,342,IWF GRAND PRIX 5th RUSSIAN FEDERATION PRESIDENT'S CUP,2015-12-12,165,170,175,175,205,215,-227,215,390
9,7,9,ABUBAKAROV Selimkhan,10179,1997-02-18,18.813698630136987,M,KAZ,A,145.98,+105 kg Men,0,1,342,IWF GRAND PRIX 5th RUSSIAN FEDERATION PRESIDENT'S CUP,2015-12-12,160,170,180,180,190,200,210,210,390
10,10,10,SWART Cameron Marshall,4618,1988-10-24,27.133879781420767,M,USA,A,135.56,+105 kg Men,0,1,342,IWF GRAND PRIX 5th RUSSIAN FEDERATION PRESIDENT'S CUP,2015-12-12,162,-167,-170,162,200,208,-215,208,370
11,11,11,MOORMAN Spencer Bennett,6159,1991-10-29,24.120218579234972,M,USA,A,108.24,+105 kg Men,0,1,342,IWF GRAND PRIX 5th RUSSIAN FEDERATION PRESIDENT'S CUP,2015-12-12,160,-165,-165,160,200,-207,-210,200,360
12,12,12,KRUZEL Ondrej,4527,1988-08-23,27.30327868852459,M,SVK,A,110.88,+105 kg Men,0,1,342,IWF GRAND PRIX 5th RUSSIAN FEDERATION PRESIDENT'S CUP,2015-12-12,155,160,-165,160,196,-201,NA,196,356
13,13,13,KAJDOCSI Tivadar,7658,1993-10-15,22.15846994535519,M,SRB,A,126.24,+105 kg Men,0,1,342,IWF GRAND PRIX 5th RUSSIAN FEDERATION PRESIDENT'S CUP,2015-12-12,145,150,156,156,195,-200,-200,195,351
NA,NA,NA,EFREMOV Ivan,3516,1986-03-09,29.759562841530055,M,UZB,A,105.22,+105 kg Men,0,1,342,IWF GRAND PRIX 5th RUSSIAN FEDERATION PRESIDENT'S CUP,2015-12-12,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,ZHARNASEK Yauheni,4074,1987-08-09,28.34153005464481,M,BLR,A,150.26,+105 kg Men,0,1,342,IWF GRAND PRIX 5th RUSSIAN FEDERATION PRESIDENT'S CUP,2015-12-12,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,ROBLES Sarah Elizabeth,4494,1988-08-01,27.363387978142075,W,USA,A,149.4,+75 kg Women,0,1,342,IWF GRAND PRIX 5th RUSSIAN FEDERATION PRESIDENT'S CUP,2015-12-12,115,120,124,124,143,150,154,154,278
2,2,2,ABORNEVA Alexandra,3748,1986-10-30,29.117486338797814,W,KAZ,A,106.06,+75 kg Women,0,1,342,IWF GRAND PRIX 5th RUSSIAN FEDERATION PRESIDENT'S CUP,2015-12-12,108,113,-115,113,137,143,-150,143,256
3,3,3,AANEI Andreea,7734,1993-11-18,22.065573770491802,W,ROU,A,115.66,+75 kg Women,0,1,342,IWF GRAND PRIX 5th RUSSIAN FEDERATION PRESIDENT'S CUP,2015-12-12,-106,106,110,110,126,131,137,137,247
4,4,4,ASTAFIEVA Oxana,5935,1991-05-17,24.57103825136612,W,RUS,A,83.7,+75 kg Women,0,1,342,IWF GRAND PRIX 5th RUSSIAN FEDERATION PRESIDENT'S CUP,2015-12-12,95,100,105,105,120,125,130,130,235
5,5,5,PASKHINA Kseniia,8500,1994-11-19,21.062841530054644,W,RUS,A,97.32,+75 kg Women,0,1,342,IWF GRAND PRIX 5th RUSSIAN FEDERATION PRESIDENT'S CUP,2015-12-12,95,100,-105,100,120,130,-138,130,230
6,6,6,FIGUEROA Angelica Marie,9864,1996-09-13,19.24590163934426,W,USA,A,114.04,+75 kg Women,0,1,342,IWF GRAND PRIX 5th RUSSIAN FEDERATION PRESIDENT'S CUP,2015-12-12,86,89,-92,89,115,120,-125,120,209
1,1,1,ILYIN Ilya,4416,1988-05-24,27.55191256830601,M,KAZ,A,104.44,105 kg Men,0,1,342,IWF GRAND PRIX 5th RUSSIAN FEDERATION PRESIDENT'S CUP,2015-12-12,184,-188,191,191,231,246,NA,246,437
2,2,2,ZAICHIKOV Alexandr,6730,1992-08-17,23.31967213114754,M,KAZ,A,104.2,105 kg Men,0,1,342,IWF GRAND PRIX 5th RUSSIAN FEDERATION PRESIDENT'S CUP,2015-12-12,180,185,190,190,210,220,226,226,416
3,3,3,"NANIEV Timur",8399,1994-09-20,21.226775956284154,M,RUS,A,104.84,105 kg Men,0,1,342,IWF GRAND PRIX 5th RUSSIAN FEDERATION PRESIDENT'S CUP,2015-12-12,176,182,186,186,215,-225,225,225,411
4,4,6,YANG Zhe,6015,1991-07-14,24.41256830601093,M,CHN,A,104.88,105 kg Men,0,1,342,IWF GRAND PRIX 5th RUSSIAN FEDERATION PRESIDENT'S CUP,2015-12-12,185,-195,-195,185,217,-227,NA,217,402
5,5,4,KASABIJEW Arsen,4180,1987-11-15,28.07377049180328,M,POL,A,104,105 kg Men,0,1,342,IWF GRAND PRIX 5th RUSSIAN FEDERATION PRESIDENT'S CUP,2015-12-12,166,170,-174,170,210,220,-226,220,390
6,6,5,DUSMUROTOV Sardorbek,7201,1993-03-13,22.74863387978142,M,UZB,A,104.4,105 kg Men,0,1,342,IWF GRAND PRIX 5th RUSSIAN FEDERATION PRESIDENT'S CUP,2015-12-12,-160,160,166,166,210,220,-230,220,386
7,8,7,WU Changsheng,8790,1995-03-17,20.737704918032787,M,CHN,A,104.84,105 kg Men,0,1,342,IWF GRAND PRIX 5th RUSSIAN FEDERATION PRESIDENT'S CUP,2015-12-12,160,-167,-167,160,200,208,214,214,374
