total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,date_of_birth,age,gender,nation,group,bw,category,dq,old_classes,event_id,event,date,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,2,1,MASSOUD Mohamed Ehsan Attia,9754,1984-01-11,29.9,M,EGY,A,148.7,+105 kg Men,0,1,255,2013 IWF GRAND PRIX - PRESIDENT'S CUP,2013-11-21,181,186,191,191,222,230,231,231,422
2,1,2,MURATOV Gennady,10718,1987-03-02,26.7,M,RUS,A,113.4,+105 kg Men,0,1,255,2013 IWF GRAND PRIX - PRESIDENT'S CUP,2013-11-21,185,-190,191,191,220,225,230,230,421
3,4,3,PROSHAK Oleg,12501,1983-11-06,30,M,UKR,A,128.8,+105 kg Men,0,1,255,2013 IWF GRAND PRIX - PRESIDENT'S CUP,2013-11-21,183,187,NA,187,220,-225,228,228,415
4,3,5,"NAGY Peter",10827,1986-01-16,27.8,M,HUN,A,156.4,+105 kg Men,0,1,255,2013 IWF GRAND PRIX - PRESIDENT'S CUP,2013-11-21,182,188,-192,188,217,224,-228,224,412
5,6,4,SAVCHUK Antoniy,13878,1995-11-20,18,M,RUS,A,128.9,+105 kg Men,0,1,255,2013 IWF GRAND PRIX - PRESIDENT'S CUP,2013-11-21,170,-177,180,180,212,221,226,226,406
6,5,6,HAKOBYAN Hayk,5835,1990-06-14,23.4,M,ARM,A,128,+105 kg Men,0,1,255,2013 IWF GRAND PRIX - PRESIDENT'S CUP,2013-11-21,175,185,-190,185,205,215,-220,215,400
7,7,7,KAJDOCSI Tivadar,7231,1993-10-15,20.1,M,SRB,A,126.5,+105 kg Men,0,1,255,2013 IWF GRAND PRIX - PRESIDENT'S CUP,2013-11-21,142,-147,147,147,-187,-187,193,193,340
8,8,8,KAJDOCI Tamas,7230,1997-04-21,16.6,M,SRB,A,115.4,+105 kg Men,0,1,255,2013 IWF GRAND PRIX - PRESIDENT'S CUP,2013-11-21,137,142,-145,142,170,-175,-175,170,312
1,1,1,KASHIRINA Tatiana,7424,1991-01-24,22.8,W,RUS,A,102.72,+75 kg Women,0,1,255,2013 IWF GRAND PRIX - PRESIDENT'S CUP,2013-11-21,138,143,148,148,168,178,186,186,334
2,4,2,KHENJANTUEK Praeonapa,7668,1992-07-30,21.3,W,THA,A,123.23,+75 kg Women,0,1,255,2013 IWF GRAND PRIX - PRESIDENT'S CUP,2013-11-21,105,109,-112,109,136,144,147,147,256
3,2,3,KACHAEVA Yulia,7186,1990-11-29,23,W,RUS,A,93.25,+75 kg Women,0,1,255,2013 IWF GRAND PRIX - PRESIDENT'S CUP,2013-11-21,108,111,112,112,135,-140,140,140,252
4,3,4,AANEI Andreea,12,1993-11-18,20,W,ROU,A,109.32,+75 kg Women,0,1,255,2013 IWF GRAND PRIX - PRESIDENT'S CUP,2013-11-21,100,106,109,109,125,130,-136,130,239
1,1,1,SHEIKO Maksim,14206,1988-04-14,25.6,M,RUS,A,103.9,105 kg Men,0,1,255,2013 IWF GRAND PRIX - PRESIDENT'S CUP,2013-11-21,180,185,187,187,215,221,226,226,413
2,2,2,"NANIEV Timur",10891,1994-09-20,19.2,M,RUS,A,104.9,105 kg Men,0,1,255,2013 IWF GRAND PRIX - PRESIDENT'S CUP,2013-11-21,174,182,-186,182,210,220,225,225,407
3,3,3,PLESNIEKS Arturs,12292,1992-01-21,21.8,M,LAT,A,102,105 kg Men,0,1,255,2013 IWF GRAND PRIX - PRESIDENT'S CUP,2013-11-21,170,175,180,180,207,212,220,220,400
4,6,4,JUGHELI Ahed,7131,1982-10-10,31.1,M,SYR,A,104,105 kg Men,0,1,255,2013 IWF GRAND PRIX - PRESIDENT'S CUP,2013-11-21,166,-171,-171,166,202,210,215,215,381
