total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,date_of_birth,age,gender,nation,group,bw,category,dq,old_classes,event_id,event,date,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,NA,NA,REZA ZADEH Hossein,12588,1978-05-12,26.3,M,IRI,A,162.95,+105 kg Men,0,1,4,XXVIII OLYMPIC GAMES,2004-08-14,0,0,0,210,0,0,0,263.5,472.5
2,NA,NA,SCERBATIHS Viktors,13513,1974-06-10,30.2,M,LAT,A,140.72,+105 kg Men,0,1,4,XXVIII OLYMPIC GAMES,2004-08-14,0,0,0,205,0,0,0,250,455
3,NA,NA,CHOLAKOV Velichko,3126,1982-01-12,22.6,M,BUL,A,161.31,+105 kg Men,0,1,4,XXVIII OLYMPIC GAMES,2004-08-14,0,0,0,207.5,0,0,0,240,447.5
5,NA,NA,KOLOKOLTSEV Oleksiy,7797,1981-02-14,23.5,M,UKR,A,125.07,+105 kg Men,0,1,4,XXVIII OLYMPIC GAMES,2004-08-14,0,0,0,195,0,0,0,242.5,437.5
6,NA,NA,"NAJDEK Pawel",10536,1973-04-09,31.3,M,POL,A,140.44,+105 kg Men,0,1,4,XXVIII OLYMPIC GAMES,2004-08-14,0,0,0,190,0,0,0,240,430
7,NA,NA,HAMMAN Shane,5713,1972-06-20,32.2,M,USA,A,158.93,+105 kg Men,0,1,4,XXVIII OLYMPIC GAMES,2004-08-14,0,0,0,192.5,0,0,0,237.5,430
8,NA,NA,AN Yong-Kwon,1020,1982-10-15,21.8,M,KOR,A,136.9,+105 kg Men,0,1,4,XXVIII OLYMPIC GAMES,2004-08-14,0,0,0,202.5,0,0,0,225,427.5
NA,NA,NA,DANIELYAN Ashot,3546,1974-04-11,30.3,M,ARM,A,163.27,+105 kg Men,0,1,4,XXVIII OLYMPIC GAMES,2004-08-14,0,0,0,NA,0,0,0,NA,NA
NA,NA,NA,WELLER Ronny,15949,1969-07-22,35.1,M,GER,A,151.84,+105 kg Men,0,1,4,XXVIII OLYMPIC GAMES,2004-08-14,0,0,0,195,0,0,0,NA,NA
4,NA,NA,KRASILNIKOV Genadiy,7955,1977-03-30,27.4,M,UKR,B,118.43,+105 kg Men,0,1,4,XXVIII OLYMPIC GAMES,2004-08-14,0,0,0,200,0,0,0,240,440
9,NA,NA,KHALILOV Igor,7402,1972-06-13,32.2,M,UZB,B,145.33,+105 kg Men,0,1,4,XXVIII OLYMPIC GAMES,2004-08-14,0,0,0,187.5,0,0,0,232.5,420
10,NA,NA,KLESZCZ Grzegorz,7691,1977-11-12,26.8,M,POL,B,124.33,+105 kg Men,0,1,4,XXVIII OLYMPIC GAMES,2004-08-14,0,0,0,190,0,0,0,225,415
11,NA,NA,MASSOUD Mohamed Ehsan Attia,9483,1984-01-11,20.6,M,EGY,B,142.72,+105 kg Men,0,1,4,XXVIII OLYMPIC GAMES,2004-08-14,0,0,0,185,0,0,0,220,405
12,NA,NA,IWAZAKI Takanobu,6591,1975-07-23,29.1,M,JPN,B,127.7,+105 kg Men,0,1,4,XXVIII OLYMPIC GAMES,2004-08-14,0,0,0,170,0,0,0,215,385
13,NA,NA,BRAN Joel,2263,1981-12-23,22.6,M,GUA,B,134.26,+105 kg Men,0,1,4,XXVIII OLYMPIC GAMES,2004-08-14,0,0,0,160,0,0,0,210,370
14,NA,NA,DETENAMO Itte,3799,1986-09-22,17.9,M,NRU,B,137.65,+105 kg Men,0,1,4,XXVIII OLYMPIC GAMES,2004-08-14,0,0,0,155,0,0,0,192.5,347.5
NA,NA,NA,GRIMSETH Stian,5441,1972-07-24,32.1,M,NOR,B,158.3,+105 kg Men,0,1,4,XXVIII OLYMPIC GAMES,2004-08-14,0,0,0,185,0,0,0,NA,NA
1,NA,NA,TANG Gonghong,14765,1979-03-05,25.4,W,CHN,A,119.52,+75 kg Women,0,1,4,XXVIII OLYMPIC GAMES,2004-08-14,0,0,0,122.5,0,0,0,182.5,305
2,NA,NA,JANG Mi-ran,6643,1983-10-09,20.8,W,KOR,A,113.34,+75 kg Women,0,1,4,XXVIII OLYMPIC GAMES,2004-08-14,0,0,0,130,0,0,0,172.5,302.5
3,NA,NA,WROBEL Agata,16080,1981-08-20,23,W,POL,A,124.68,+75 kg Women,0,1,4,XXVIII OLYMPIC GAMES,2004-08-14,0,0,0,130,0,0,0,160,290
4,NA,NA,VARGA Viktoria,15542,1981-04-17,23.3,W,HUN,A,93.69,+75 kg Women,0,1,4,XXVIII OLYMPIC GAMES,2004-08-14,0,0,0,127.5,0,0,0,155,282.5
5,NA,NA,SHAIMARDANOVA Victoria,13741,1973-10-11,30.8,W,UKR,A,88.14,+75 kg Women,0,1,4,XXVIII OLYMPIC GAMES,2004-08-14,0,0,0,130,0,0,0,150,280
6,NA,NA,HAWORTH Cheryl,5868,1983-04-19,21.3,W,USA,A,131.95,+75 kg Women,0,1,4,XXVIII OLYMPIC GAMES,2004-08-14,0,0,0,125,0,0,0,155,280
7,NA,NA,KOROBKA Olha,7872,1985-12-07,18.7,W,UKR,A,156.19,+75 kg Women,0,1,4,XXVIII OLYMPIC GAMES,2004-08-14,0,0,0,125,0,0,0,155,280
