rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id
Rank: 1,JIA Xionghui,CHN,"Born: Jan 20, 1998",B.weight: 49.45,Group: A,1: 85,2: 89,3: 93,Total: 93,50kgMen,Snatch,236
Rank: 2,EKANAYAKE E.M.S.S.,SRI,"Born: Jun 01, 1996",B.weight: 48.43,Group: A,1: 84,2: 87,3: - 89,Total: 87,50kgMen,Snatch,236
Rank: 3,YULDASHEV Mashkhurbek,UZB,"Born: Feb 17, 1997",B.weight: 49.82,Group: A,1: 83,2: 86,3: - 88,Total: 86,50kgMen,Snatch,236
Rank: 4,PAK Jong Ju,PRK,"Born: Mar 14, 1997",B.weight: 49.93,Group: A,1: - 83,2: 83,3: 86,Total: 86,50kgMen,Snatch,236
Rank: 5,DERU Jimjang,IND,"Born: Oct 01, 1998",B.weight: 49.20,Group: A,1: 81,2: 85,3: - 88,Total: 85,50kgMen,Snatch,236
Rank: 6,MINASYAN Marzpet,ARM,"Born: Mar 11, 1997",B.weight: 49.96,Group: A,1: 80,2: 85,3: - 89,Total: 85,50kgMen,Snatch,236
Rank: 7,LAI Yung-En,TPE,"Born: Feb 03, 1997",B.weight: 49.66,Group: B,1: 80,2: - 84,3: 84,Total: 84,50kgMen,Snatch,236
Rank: 8,SAN A Cam,VIE,"Born: Sep 12, 1997",B.weight: 49.34,Group: A,1: 78,2: 82,3: - 84,Total: 82,50kgMen,Snatch,236
Rank: 9,GAMAL ELSAYED Mohamed,EGY,"Born: May 15, 1998",B.weight: 49.96,Group: A,1: 75,2: 80,3: 82,Total: 82,50kgMen,Snatch,236
Rank: 10,GARRIDO BUENAIRE Victor Jesus,ECU,"Born: May 27, 1998",B.weight: 49.49,Group: A,1: - 80,2: 80,3: - 86,Total: 80,50kgMen,Snatch,236
Rank: 11,DEEPAK Lather,IND,"Born: Mar 25, 2000",B.weight: 49.63,Group: B,1: 76,2: 80,3: - 83,Total: 80,50kgMen,Snatch,236
Rank: 12,ANGELOV Petar Sevdalin,BUL,"Born: Dec 15, 1997",B.weight: 50.00,Group: B,1: 75,2: - 80,3: 80,Total: 80,50kgMen,Snatch,236
Rank: 13,RAMIREZ VIRGILIO Julian Rodolfo,MEX,"Born: Oct 23, 1997",B.weight: 49.42,Group: A,1: 73,2: 76,3: 78,Total: 78,50kgMen,Snatch,236
Rank: 14,SON Igor,KAZ,"Born: Nov 16, 1998",B.weight: 48.34,Group: C,1: 73,2: 77,3: - 81,Total: 77,50kgMen,Snatch,236
Rank: 15,RZAZADE Ruslan,AZE,"Born: Sep 11, 1998",B.weight: 49.53,Group: C,1: 70,2: 74,3: 77,Total: 77,50kgMen,Snatch,236
Rank: 16,ARCARA Fabio,ITA,"Born: Jan 28, 1997",B.weight: 49.30,Group: B,1: 73,2: - 76,3: 76,Total: 76,50kgMen,Snatch,236
Rank: 17,CINI Oguzhan,TUR,"Born: Aug 17, 1998",B.weight: 49.54,Group: B,1: 73,2: 76,3: - 77,Total: 76,50kgMen,Snatch,236
Rank: 18,BLIDARI Silviu Constantin,ROU,"Born: May 17, 1997",B.weight: 49.50,Group: B,1: 71,2: - 75,3: 75,Total: 75,50kgMen,Snatch,236
Rank: 19,MAMMADLI Mahammad,AZE,"Born: Oct 31, 1997",B.weight: 49.54,Group: B,1: - 75,2: - 75,3: 75,Total: 75,50kgMen,Snatch,236
Rank: 20,SALAMATOV Iskender,KGZ,"Born: Dec 11, 1997",B.weight: 49.94,Group: C,1: 68,2: 72,3: 75,Total: 75,50kgMen,Snatch,236
Rank: 21,MASHYARY Hassan Mohammed A,KSA,"Born: Sep 10, 1996",B.weight: 50.00,Group: C,1: 67,2: - 75,3: 75,Total: 75,50kgMen,Snatch,236
Rank: 22,FERRUZOLA ALAVA Rafael Patricio,ECU,"Born: Oct 16, 1997",B.weight: 49.15,Group: B,1: - 74,2: 74,3: - 78,Total: 74,50kgMen,Snatch,236
Rank: 23,SOTIROV Georgi Stefanov,BUL,"Born: Nov 19, 1996",B.weight: 49.79,Group: B,1: - 73,2: 73,3: - 78,Total: 73,50kgMen,Snatch,236
Rank: 24,VASQUEZ MENDOZA Julio Victor,PER,"Born: Dec 22, 1997",B.weight: 49.61,Group: C,1: 68,2: 71,3: - 73,Total: 71,50kgMen,Snatch,236
Rank: 25,YILMAZ Okkes,TUR,"Born: Jun 02, 1998",B.weight: 49.34,Group: B,1: 70,2: - 73,3: - 73,Total: 70,50kgMen,Snatch,236
Rank: 26,BARRETO MARTINEZ Angel Luis,VEN,"Born: Jun 28, 1997",B.weight: 49.47,Group: B,1: 70,2: - 75,3: - 75,Total: 70,50kgMen,Snatch,236
Rank: 27,LOPEZ CARRANZA Brandy,PER,"Born: Oct 15, 1998",B.weight: 49.51,Group: C,1: 65,2: 68,3: - 70,Total: 68,50kgMen,Snatch,236
Rank: 28,ALABSI Khalid Ali M,KSA,"Born: Apr 02, 1997",B.weight: 49.84,Group: C,1: 60,2: 65,3: - 70,Total: 65,50kgMen,Snatch,236
Rank: 29,DEER Abbas,IRQ,"Born: Feb 09, 1997",B.weight: 50.00,Group: C,1: 65,2: - 71,3: - 71,Total: 65,50kgMen,Snatch,236
Rank: 30,RAMADANI Kristi,ALB,"Born: Oct 29, 2000",B.weight: 48.66,Group: C,1: 49,2: 54,3: - 60,Total: 54,50kgMen,Snatch,236
Rank: ---,MARWANTO Hendri Dwi,INA,"Born: Mar 29, 1996",B.weight: 49.49,Group: A,1: - 76,2: - 77,3: - 77,Total: ---,50kgMen,Snatch,236
Rank: 1,PAK Jong Ju,PRK,"Born: Mar 14, 1997",B.weight: 49.93,Group: A,1: -110,2: 111,3: -115,Total: 111,50kgMen,CleanJerk,236
Rank: 2,DERU Jimjang,IND,"Born: Oct 01, 1998",B.weight: 49.20,Group: A,1: 105,2: 110,3: -112,Total: 110,50kgMen,CleanJerk,236
Rank: 3,YULDASHEV Mashkhurbek,UZB,"Born: Feb 17, 1997",B.weight: 49.82,Group: A,1: 105,2: -110,3: 110,Total: 110,50kgMen,CleanJerk,236
Rank: 4,JIA Xionghui,CHN,"Born: Jan 20, 1998",B.weight: 49.45,Group: A,1: 102,2: 107,3: -110,Total: 107,50kgMen,CleanJerk,236
Rank: 5,SAN A Cam,VIE,"Born: Sep 12, 1997",B.weight: 49.34,Group: A,1: 98,2: 105,3: -108,Total: 105,50kgMen,CleanJerk,236
Rank: 6,LAI Yung-En,TPE,"Born: Feb 03, 1997",B.weight: 49.66,Group: B,1: 100,2: -105,3: -105,Total: 100,50kgMen,CleanJerk,236
Rank: 7,MINASYAN Marzpet,ARM,"Born: Mar 11, 1997",B.weight: 49.96,Group: A,1: 90,2: 95,3: 100,Total: 100,50kgMen,CleanJerk,236
Rank: 8,SOTIROV Georgi Stefanov,BUL,"Born: Nov 19, 1996",B.weight: 49.79,Group: B,1: 93,2: 96,3: 99,Total: 99,50kgMen,CleanJerk,236
Rank: 9,GARRIDO BUENAIRE Victor Jesus,ECU,"Born: May 27, 1998",B.weight: 49.49,Group: A,1: - 98,2: 98,3: -102,Total: 98,50kgMen,CleanJerk,236
Rank: 10,RAMIREZ VIRGILIO Julian Rodolfo,MEX,"Born: Oct 23, 1997",B.weight: 49.42,Group: A,1: 93,2: - 97,3: 97,Total: 97,50kgMen,CleanJerk,236
Rank: 11,MAMMADLI Mahammad,AZE,"Born: Oct 31, 1997",B.weight: 49.54,Group: B,1: 88,2: 94,3: 96,Total: 96,50kgMen,CleanJerk,236
Rank: 12,MASHYARY Hassan Mohammed A,KSA,"Born: Sep 10, 1996",B.weight: 50.00,Group: C,1: 88,2: 91,3: 96,Total: 96,50kgMen,CleanJerk,236
Rank: 13,SON Igor,KAZ,"Born: Nov 16, 1998",B.weight: 48.34,Group: C,1: 90,2: - 95,3: 95,Total: 95,50kgMen,CleanJerk,236
Rank: 14,FERRUZOLA ALAVA Rafael Patricio,ECU,"Born: Oct 16, 1997",B.weight: 49.15,Group: B,1: - 95,2: 95,3: - 98,Total: 95,50kgMen,CleanJerk,236
Rank: 15,BARRETO MARTINEZ Angel Luis,VEN,"Born: Jun 28, 1997",B.weight: 49.47,Group: B,1: 90,2: 95,3: - 99,Total: 95,50kgMen,CleanJerk,236
Rank: 16,BLIDARI Silviu Constantin,ROU,"Born: May 17, 1997",B.weight: 49.50,Group: B,1: 90,2: - 95,3: 95,Total: 95,50kgMen,CleanJerk,236
Rank: 17,GAMAL ELSAYED Mohamed,EGY,"Born: May 15, 1998",B.weight: 49.96,Group: A,1: 95,2: -100,3: -100,Total: 95,50kgMen,CleanJerk,236
Rank: 18,ANGELOV Petar Sevdalin,BUL,"Born: Dec 15, 1997",B.weight: 50.00,Group: B,1: - 95,2: 95,3: -100,Total: 95,50kgMen,CleanJerk,236
Rank: 19,DEEPAK Lather,IND,"Born: Mar 25, 2000",B.weight: 49.63,Group: B,1: 90,2: - 94,3: 94,Total: 94,50kgMen,CleanJerk,236
Rank: 20,ARCARA Fabio,ITA,"Born: Jan 28, 1997",B.weight: 49.30,Group: B,1: - 93,2: 93,3: - 97,Total: 93,50kgMen,CleanJerk,236
Rank: 21,RZAZADE Ruslan,AZE,"Born: Sep 11, 1998",B.weight: 49.53,Group: C,1: 88,2: 93,3: - 96,Total: 93,50kgMen,CleanJerk,236
Rank: 22,CINI Oguzhan,TUR,"Born: Aug 17, 1998",B.weight: 49.54,Group: B,1: 86,2: 90,3: 92,Total: 92,50kgMen,CleanJerk,236
Rank: 23,VASQUEZ MENDOZA Julio Victor,PER,"Born: Dec 22, 1997",B.weight: 49.61,Group: C,1: 88,2: - 91,3: 91,Total: 91,50kgMen,CleanJerk,236
Rank: 24,LOPEZ CARRANZA Brandy,PER,"Born: Oct 15, 1998",B.weight: 49.51,Group: C,1: 85,2: 89,3: - 91,Total: 89,50kgMen,CleanJerk,236
Rank: 25,YILMAZ Okkes,TUR,"Born: Jun 02, 1998",B.weight: 49.34,Group: B,1: - 88,2: 88,3: - 91,Total: 88,50kgMen,CleanJerk,236
Rank: 26,SALAMATOV Iskender,KGZ,"Born: Dec 11, 1997",B.weight: 49.94,Group: C,1: 84,2: 88,3: - 91,Total: 88,50kgMen,CleanJerk,236
Rank: 27,DEER Abbas,IRQ,"Born: Feb 09, 1997",B.weight: 50.00,Group: C,1: 85,2: - 90,3: - 90,Total: 85,50kgMen,CleanJerk,236
Rank: 28,ALABSI Khalid Ali M,KSA,"Born: Apr 02, 1997",B.weight: 49.84,Group: C,1: 72,2: 80,3: - 85,Total: 80,50kgMen,CleanJerk,236
Rank: 29,RAMADANI Kristi,ALB,"Born: Oct 29, 2000",B.weight: 48.66,Group: C,1: 69,2: 72,3: 75,Total: 75,50kgMen,CleanJerk,236
Rank: ---,EKANAYAKE E.M.S.S.,SRI,"Born: Jun 01, 1996",B.weight: 48.43,Group: A,1: ---,2: ---,3: ---,Total: ---,50kgMen,CleanJerk,236
Rank: ---,MARWANTO Hendri Dwi,INA,"Born: Mar 29, 1996",B.weight: 49.49,Group: A,1: - 99,2: ---,3: ---,Total: ---,50kgMen,CleanJerk,236
Rank: 1,JIA Xionghui,CHN,"Born: Jan 20, 1998",B.weight: 49.45,Group: A,Snatch: 93,CI&Jerk: 107,Total: 200,,50kgMen,Total,236
Rank: 2,PAK Jong Ju,PRK,"Born: Mar 14, 1997",B.weight: 49.93,Group: A,Snatch: 86,CI&Jerk: 111,Total: 197,,50kgMen,Total,236
Rank: 3,YULDASHEV Mashkhurbek,UZB,"Born: Feb 17, 1997",B.weight: 49.82,Group: A,Snatch: 86,CI&Jerk: 110,Total: 196,,50kgMen,Total,236
Rank: 4,DERU Jimjang,IND,"Born: Oct 01, 1998",B.weight: 49.20,Group: A,Snatch: 85,CI&Jerk: 110,Total: 195,,50kgMen,Total,236
Rank: 5,SAN A Cam,VIE,"Born: Sep 12, 1997",B.weight: 49.34,Group: A,Snatch: 82,CI&Jerk: 105,Total: 187,,50kgMen,Total,236
Rank: 6,MINASYAN Marzpet,ARM,"Born: Mar 11, 1997",B.weight: 49.96,Group: A,Snatch: 85,CI&Jerk: 100,Total: 185,,50kgMen,Total,236
Rank: 7,LAI Yung-En,TPE,"Born: Feb 03, 1997",B.weight: 49.66,Group: B,Snatch: 84,CI&Jerk: 100,Total: 184,,50kgMen,Total,236
Rank: 8,GARRIDO BUENAIRE Victor Jesus,ECU,"Born: May 27, 1998",B.weight: 49.49,Group: A,Snatch: 80,CI&Jerk: 98,Total: 178,,50kgMen,Total,236
Rank: 9,GAMAL ELSAYED Mohamed,EGY,"Born: May 15, 1998",B.weight: 49.96,Group: A,Snatch: 82,CI&Jerk: 95,Total: 177,,50kgMen,Total,236
Rank: 10,RAMIREZ VIRGILIO Julian Rodolfo,MEX,"Born: Oct 23, 1997",B.weight: 49.42,Group: A,Snatch: 78,CI&Jerk: 97,Total: 175,,50kgMen,Total,236
Rank: 11,ANGELOV Petar Sevdalin,BUL,"Born: Dec 15, 1997",B.weight: 50.00,Group: B,Snatch: 80,CI&Jerk: 95,Total: 175,,50kgMen,Total,236
Rank: 12,DEEPAK Lather,IND,"Born: Mar 25, 2000",B.weight: 49.63,Group: B,Snatch: 80,CI&Jerk: 94,Total: 174,,50kgMen,Total,236
Rank: 13,SON Igor,KAZ,"Born: Nov 16, 1998",B.weight: 48.34,Group: C,Snatch: 77,CI&Jerk: 95,Total: 172,,50kgMen,Total,236
Rank: 14,SOTIROV Georgi Stefanov,BUL,"Born: Nov 19, 1996",B.weight: 49.79,Group: B,Snatch: 73,CI&Jerk: 99,Total: 172,,50kgMen,Total,236
Rank: 15,MAMMADLI Mahammad,AZE,"Born: Oct 31, 1997",B.weight: 49.54,Group: B,Snatch: 75,CI&Jerk: 96,Total: 171,,50kgMen,Total,236
Rank: 16,MASHYARY Hassan Mohammed A,KSA,"Born: Sep 10, 1996",B.weight: 50.00,Group: C,Snatch: 75,CI&Jerk: 96,Total: 171,,50kgMen,Total,236
Rank: 17,BLIDARI Silviu Constantin,ROU,"Born: May 17, 1997",B.weight: 49.50,Group: B,Snatch: 75,CI&Jerk: 95,Total: 170,,50kgMen,Total,236
Rank: 18,RZAZADE Ruslan,AZE,"Born: Sep 11, 1998",B.weight: 49.53,Group: C,Snatch: 77,CI&Jerk: 93,Total: 170,,50kgMen,Total,236
Rank: 19,FERRUZOLA ALAVA Rafael Patricio,ECU,"Born: Oct 16, 1997",B.weight: 49.15,Group: B,Snatch: 74,CI&Jerk: 95,Total: 169,,50kgMen,Total,236
Rank: 20,ARCARA Fabio,ITA,"Born: Jan 28, 1997",B.weight: 49.30,Group: B,Snatch: 76,CI&Jerk: 93,Total: 169,,50kgMen,Total,236
Rank: 21,CINI Oguzhan,TUR,"Born: Aug 17, 1998",B.weight: 49.54,Group: B,Snatch: 76,CI&Jerk: 92,Total: 168,,50kgMen,Total,236
Rank: 22,BARRETO MARTINEZ Angel Luis,VEN,"Born: Jun 28, 1997",B.weight: 49.47,Group: B,Snatch: 70,CI&Jerk: 95,Total: 165,,50kgMen,Total,236
