rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id
Rank: 1,MKHITARYAN Monte,ARM,"Born: Dec 04, 2001",B.weight: 54.90,Group: A,1: 105,2: 109,3: 111,Total: 111,55kgMen,Snatch,482
Rank: 2,LUCA Marian-Cristian,ROU,"Born: Feb 16, 1999",B.weight: 55.00,Group: A,1: 105,2: 108,3: 110,Total: 110,55kgMen,Snatch,482
Rank: 3,RUSEV Angel Hriskov,BUL,"Born: Jul 13, 2001",B.weight: 55.00,Group: A,1: 100,2: 105,3: 107,Total: 107,55kgMen,Snatch,482
Rank: 4,MASSIDDA Sergio,ITA,"Born: Jan 26, 2002",B.weight: 54.80,Group: A,1: 100,2: 103,3: 106,Total: 106,55kgMen,Snatch,482
Rank: 5,IANCU Valentin-Ionadi,ROU,"Born: Jan 16, 2000",B.weight: 54.65,Group: A,1: 102,2: -106,3: 106,Total: 106,55kgMen,Snatch,482
Rank: 6,CABUK Haci Osman,TUR,"Born: Dec 03, 2002",B.weight: 54.90,Group: A,1: -95,2: 95,3: 101,Total: 101,55kgMen,Snatch,482
Rank: 7,MUHAMMET Akkaya,TUR,"Born: May 10, 1999",B.weight: 54.95,Group: A,1: 95,2: -101,3: 101,Total: 101,55kgMen,Snatch,482
Rank: 8,POLAK Frantisek,CZE,"Born: Jul 01, 2001",B.weight: 54.95,Group: A,1: 95,2: 99,3: -103,Total: 99,55kgMen,Snatch,482
Rank: 9,MOSKAL Matej,CZE,"Born: Oct 21, 2002",B.weight: 54.70,Group: A,1: 87,2: 91,3: 94,Total: 94,55kgMen,Snatch,482
Rank: 10,PAPOU Yahor,BLR,"Born: Sep 15, 2003",B.weight: 55.00,Group: A,1: 93,2: -96,3: -96,Total: 93,55kgMen,Snatch,482
Rank: 1,RUSEV Angel Hriskov,BUL,"Born: Jul 13, 2001",B.weight: 55.00,Group: A,1: 132,2: 136,3: -147,Total: 136,55kgMen,CleanJerk,482
Rank: 2,IANCU Valentin-Ionadi,ROU,"Born: Jan 16, 2000",B.weight: 54.65,Group: A,1: 132,2: -134,3: 134,Total: 134,55kgMen,CleanJerk,482
Rank: 3,MASSIDDA Sergio,ITA,"Born: Jan 26, 2002",B.weight: 54.80,Group: A,1: 126,2: 132,3: 133,Total: 133,55kgMen,CleanJerk,482
Rank: 4,LUCA Marian-Cristian,ROU,"Born: Feb 16, 1999",B.weight: 55.00,Group: A,1: 127,2: -132,3: 132,Total: 132,55kgMen,CleanJerk,482
