total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,date_of_birth,age,gender,nation,group,bw,category,dq,old_classes,event_id,event,date,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,1,1,CHOUYA Rabeh,3194,1988-09-10,31,M,ALG,A,113.4,+109 kg Men,0,0,477,12th All African Games,2019-08-24,150,160,-166,160,-182,182,195,195,355
2,2,2,ABDULHAKEEM Tijjani,97,1987-02-07,32.5,M,NGR,A,124,+109 kg Men,0,0,477,12th All African Games,2019-08-24,-141,141,143,143,170,180,-190,180,323
3,3,3,LAGSIR Badr-Eddine,8306,1995-04-27,24.3,M,MAR,A,114.5,+109 kg Men,0,0,477,12th All African Games,2019-08-24,130,140,142,142,162,171,-181,171,313
4,4,5,BERTALI Zakaria,2012,1985-10-07,33.9,M,MAR,A,113.8,+109 kg Men,0,0,477,12th All African Games,2019-08-24,120,130,-135,130,155,-165,-165,155,285
5,5,4,JUBOO Khelwin,7014,2002-06-27,17.2,M,MRI,A,109.6,+109 kg Men,0,0,477,12th All African Games,2019-08-24,-120,120,-131,120,150,160,-170,160,280
NA,NA,NA,ELSAYED Abdelrahman Mohamed A. A.,4338,1989-05-19,30.3,M,EGY,A,143.1,+109 kg Men,1,0,477,12th All African Games,2019-08-24,165,NA,NA,NA,196,NA,NA,NA,NA
1,1,1,ABBAS Halima Abdelazim Sedky,23,1995-05-05,24.3,W,EGY,A,139.7,+87 kg Women,0,0,477,12th All African Games,2019-08-24,113,116,121,121,140,-151,151,151,272
2,2,2,HARIDY Shaimaa Ahmed Khalaf,5862,1991-01-01,28.6,W,EGY,A,120.6,+87 kg Women,0,0,477,12th All African Games,2019-08-24,-110,-110,110,110,135,-145,-145,135,245
3,3,3,JOSEPH Obehi,6997,1994-02-20,25.5,W,NGR,A,102.6,+87 kg Women,0,0,477,12th All African Games,2019-08-24,95,99,105,105,115,-125,130,130,235
NA,4,NA,VALAYDON Shalinee,15655,1986-04-13,33.4,W,MRI,A,113.5,+87 kg Women,0,0,477,12th All African Games,2019-08-24,90,-96,-97,90,-110,-110,-110,NA,NA
1,1,1,ABDALLA Ragab Abdelhay Saad A.,40,1991-03-04,28.5,M,EGY,A,99.6,102 kg Men,0,0,477,12th All African Games,2019-08-24,160,165,170,170,200,205,-210,205,375
2,2,2,ESSAMA OWONA Denis Joel,4481,1989-10-16,29.9,M,CMR,A,100,102 kg Men,0,0,477,12th All African Games,2019-08-24,-152,152,159,159,190,-195,-195,190,349
3,3,3,BARDE Patrick Olawale,1708,2001-12-10,17.7,M,NGR,A,101.4,102 kg Men,0,0,477,12th All African Games,2019-08-24,150,155,158,158,175,180,185,185,343
4,5,5,BAHLOUL Rami,1583,1991-07-29,28.1,M,TUN,A,96.8,102 kg Men,0,0,477,12th All African Games,2019-08-24,140,-148,148,148,172,180,-188,180,328
5,7,4,ABAYOMI Vincent,20,2002-10-01,16.9,M,NGR,A,99.6,102 kg Men,0,0,477,12th All African Games,2019-08-24,135,140,-145,140,-185,-185,185,185,325
6,6,6,FETHI Mohammed,4733,1992-10-17,26.9,M,ALG,A,101.9,102 kg Men,0,0,477,12th All African Games,2019-08-24,141,-146,-148,141,173,177,-185,177,318
7,8,7,ARMILAT Mehdi,1262,1996-12-13,22.7,M,MAR,A,99.1,102 kg Men,0,0,477,12th All African Games,2019-08-24,135,-142,-145,135,160,171,-175,171,306
8,9,8,KAGISO Bokang Alphius,7099,1997-03-30,22.4,M,BOT,A,99.6,102 kg Men,0,0,477,12th All African Games,2019-08-24,-130,130,-137,130,-145,-150,150,150,280
NA,4,NA,NGADJA NYABEYEU Junior Periclex,10874,1993-06-16,26.2,M,CMR,A,100.9,102 kg Men,0,0,477,12th All African Games,2019-08-24,-153,153,157,157,-187,NA,NA,NA,NA
1,2,1,MOHAMED Gaber Ahmed Farhan,10166,1985-09-01,34,M,EGY,A,106.9,109 kg Men,0,0,477,12th All African Games,2019-08-24,165,-168,-170,165,193,203,NA,203,368
2,1,2,BACHA Aymen,1533,1999-10-26,19.8,M,TUN,A,107.7,109 kg Men,0,0,477,12th All African Games,2019-08-24,167,-173,-173,167,190,200,-207,200,367
NA,NA,3,ABDELAZIZ Mohamed Abdelrahman M,54,1998-04-07,21.4,M,EGY,A,108.3,109 kg Men,0,0,477,12th All African Games,2019-08-24,-163,-163,-165,NA,195,-208,-208,195,NA
1,1,1,RANDAFIARISON Rosina,12576,1999-12-29,19.7,W,MAD,A,43.9,45 kg Women,0,0,477,12th All African Games,2019-08-24,65,70,-73,70,80,-85,85,85,155
2,2,2,KINGSLEY Stella Peter,7733,2002-11-13,16.8,W,NGR,A,44.5,45 kg Women,0,0,477,12th All African Games,2019-08-24,55,58,-61,58,75,80,-82,80,138
3,3,3,NTUMI Winnifred,11077,2002-09-28,16.9,W,GHA,A,44.9,45 kg Women,0,0,477,12th All African Games,2019-08-24,52,55,57,57,63,67,69,69,126
4,4,4,FAJRESLAM Maha,4542,2003-07-04,16.1,W,MAR,A,44.9,45 kg Women,0,0,477,12th All African Games,2019-08-24,47,53,-56,53,62,-68,-70,62,115
1,1,1,RANAIVOSOA Marie Hanitra Roilya,12571,1990-11-14,28.8,W,MRI,A,49,49 kg Women,0,0,477,12th All African Games,2019-08-24,75,-80,-80,75,92,94,-95,94,169
2,4,2,AHMED Heba Saleh Mahmoud,353,1996-07-03,23.1,W,EGY,A,49,49 kg Women,0,0,477,12th All African Games,2019-08-24,69,-73,-73,69,90,-93,93,93,162
