total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,date_of_birth,age,gender,nation,group,bw,category,dq,old_classes,event_id,event,date,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,NA,NA,REZA ZADEH Hossein,1105,1978-05-12,22.34794520547945,M,IRI,A,147.48,+105 kg Men,0,1,71,XXVII OLYMPIC GAMES,2000-09-16,205,-210,212.5,212.5,250,255,260,260,472.5
2,NA,NA,WELLER Ronny,140,1969-07-22,31.153424657534245,M,GER,A,146.88,+105 kg Men,0,1,71,XXVII OLYMPIC GAMES,2000-09-16,200,-207.5,210,210,250,257.5,-262.5,257.5,467.5
3,NA,NA,CHEMERKIN Andrei,318,1972-02-17,28.579234972677597,M,RUS,A,174.84,+105 kg Men,0,1,71,XXVII OLYMPIC GAMES,2000-09-16,190,200,202.5,202.5,250,260,-272.5,260,462.5
4,NA,NA,SALEM Jaber Saed,589,1975-01-03,25.702185792349727,M,QAT,A,123.64,+105 kg Men,0,1,71,XXVII OLYMPIC GAMES,2000-09-16,200,205,-210,205,250,255,-260,255,460
5,NA,NA,KIM Tae-Hyun,3691,1986-08-25,14.06027397260274,M,KOR,A,133.36,+105 kg Men,0,1,71,XXVII OLYMPIC GAMES,2000-09-16,-195,195,200,200,245,260,-265,260,460
6,NA,NA,SCERBATIHS Viktors,519,1974-06-10,26.268493150684932,M,LAT,A,131.58,+105 kg Men,0,1,71,XXVII OLYMPIC GAMES,2000-09-16,197.5,-202.5,202.5,202.5,242.5,250,-257.5,250,452.5
7,NA,NA,"NAJDEK Pawel",423,1973-04-09,27.438356164383563,M,POL,A,134.64,+105 kg Men,0,1,71,XXVII OLYMPIC GAMES,2000-09-16,180,-185,185,185,240,-245,-250,240,425
9,NA,NA,KRASILNIKOV Genadiy,894,1977-03-30,23.465753424657535,M,UKR,A,118.02,+105 kg Men,0,1,71,XXVII OLYMPIC GAMES,2000-09-16,190,-197.5,-197.5,190,230,-240,NA,230,420
11,NA,NA,UDACHYN Artem,1584,1980-03-26,20.476712328767125,M,UKR,A,133.32,+105 kg Men,0,1,71,XXVII OLYMPIC GAMES,2000-09-16,185,190,195,195,-220,220,-230,220,415
NA,NA,NA,DANIELYAN Ashot,507,1974-04-11,26.432876712328767,M,ARM,A,160.62,+105 kg Men,1,1,71,XXVII OLYMPIC GAMES,2000-09-16,200,-205,207.5,NA,250,257.5,-262.5,NA,NA
8,NA,NA,STARK Tibor,298,1972-01-01,28.707650273224044,M,HUN,B,140.62,+105 kg Men,0,1,71,XXVII OLYMPIC GAMES,2000-09-16,180,190,195,195,220,230,NA,230,425
10,NA,NA,HAMMAN Shane,345,1972-06-20,28.24109589041096,M,USA,B,163.22,+105 kg Men,0,1,71,XXVII OLYMPIC GAMES,2000-09-16,185,190,195,195,225,-232.5,-232.5,225,420
12,NA,NA,KHALILOV Igor,342,1972-06-13,28.26027397260274,M,UZB,B,140.12,+105 kg Men,0,1,71,XXVII OLYMPIC GAMES,2000-09-16,185,-190,-190,185,225,-235,NA,225,410
13,NA,NA,TECEDOR Jon,580,1975-01-01,25.707650273224044,M,ESP,B,138.34,+105 kg Men,0,1,71,XXVII OLYMPIC GAMES,2000-09-16,170,175,-180,175,210,215,220,220,395
14,NA,NA,SOBOTKA Petr,626,1975-04-30,25.38082191780822,M,CZE,B,155.06,+105 kg Men,0,1,71,XXVII OLYMPIC GAMES,2000-09-16,170,175,-180,175,210,215,217.5,217.5,392.5
15,NA,NA,ALECU Marius,1230,1979-01-01,21.707650273224044,M,ROU,B,116.04,+105 kg Men,0,1,71,XXVII OLYMPIC GAMES,2000-09-16,165,170,175,175,215,-220,-220,215,390
16,NA,NA,SARAVA Valeriane,1021,1978-01-01,22.707650273224044,M,GEO,B,115.54,+105 kg Men,0,1,71,XXVII OLYMPIC GAMES,2000-09-16,-170,170,-177.5,170,210,215,-220,215,385
17,NA,NA,AVERY Nigel,73,1967-01-01,33.70765027322405,M,NZL,B,121.98,+105 kg Men,0,1,71,XXVII OLYMPIC GAMES,2000-09-16,162.5,167.5,172.5,172.5,200,205,210,210,382.5
18,NA,NA,MARTIN Anthony,1250,1979-01-01,21.707650273224044,M,AUS,B,144.34,+105 kg Men,0,1,71,XXVII OLYMPIC GAMES,2000-09-16,157.5,-162.5,162.5,162.5,200,207.5,-215,207.5,370
19,NA,NA,RAE Christopher,1657,1980-07-20,20.15890410958904,M,AUS,B,132.02,+105 kg Men,0,1,71,XXVII OLYMPIC GAMES,2000-09-16,155,-160,-160,155,195,205,-212.5,205,360
20,NA,NA,SIONE Alesana,56,1966-01-01,34.70765027322405,M,ASA,B,130.18,+105 kg Men,0,1,71,XXVII OLYMPIC GAMES,2000-09-16,-160,160,-167.5,160,190,-197.5,197.5,197.5,357.5
21,NA,NA,REYES Plaiter,162,1970-01-01,30.707650273224044,M,DOM,B,137,+105 kg Men,0,1,71,XXVII OLYMPIC GAMES,2000-09-16,157.5,-162.5,-162.5,157.5,195,NA,NA,195,352.5
NA,NA,NA,YOSHIMOTO Hisaya,385,1973-01-01,27.707650273224044,M,JPN,B,112.4,+105 kg Men,0,1,71,XXVII OLYMPIC GAMES,2000-09-16,170,180,-182.5,180,NA,NA,NA,NA,NA
NA,NA,NA,BERGMANIS Raimonds,47,1966-01-01,34.70765027322405,M,LAT,B,137.58,+105 kg Men,0,1,71,XXVII OLYMPIC GAMES,2000-09-16,-180,NA,NA,NA,NA,NA,NA,NA,NA
1,NA,NA,DING Meiyuan,1467,1979-12-27,20.721311475409838,W,CHN,A,103.56,+75 kg Women,0,1,71,XXVII OLYMPIC GAMES,2000-09-16,130,-135,135,135,157.5,162.5,165,165,300
2,NA,NA,WROBEL Agata,1948,1981-08-20,19.073972602739726,W,POL,A,119.42,+75 kg Women,0,1,71,XXVII OLYMPIC GAMES,2000-09-16,-125,125,132.5,132.5,155,162.5,-170,162.5,295
3,NA,NA,HAWORTH Cheryl,2507,1983-04-19,17.410958904109588,W,USA,A,139.38,+75 kg Women,0,1,71,XXVII OLYMPIC GAMES,2000-09-16,117.5,122.5,125,125,140,142.5,145,145,270
4,NA,NA,DELGADO Carmenza,334,1972-05-05,28.367123287671234,W,COL,A,91.78,+75 kg Women,0,1,71,XXVII OLYMPIC GAMES,2000-09-16,110,-115,115,115,140,145,-147.5,145,260
5,NA,NA,IDAHOSA Helen,301,1972-01-01,28.707650273224044,W,NGR,A,97.04,+75 kg Women,0,1,71,XXVII OLYMPIC GAMES,2000-09-16,-110,110,-115,110,135,140,-145,140,250
6,NA,NA,RIESTERER Monique,241,1971-01-01,29.707650273224044,W,GER,A,93.52,+75 kg Women,0,1,71,XXVII OLYMPIC GAMES,2000-09-16,105,110,112.5,112.5,127.5,132.5,-137.5,132.5,245
7,NA,NA,MUN Kyung-Ae,1272,1979-01-01,21.707650273224044,W,KOR,A,94.52,+75 kg Women,0,1,71,XXVII OLYMPIC GAMES,2000-09-16,110,-115,-115,110,135,-147.5,-147.5,135,245
8,NA,NA,BAKER Olivia,1264,1979-01-01,21.707650273224044,W,NZL,A,94.74,+75 kg Women,0,1,71,XXVII OLYMPIC GAMES,2000-09-16,100,-105,105,105,125,-130,130,130,235
9,NA,NA,SZIK Melinda,488,1974-01-01,26.707650273224044,W,HUN,A,97.3,+75 kg Women,0,1,71,XXVII OLYMPIC GAMES,2000-09-16,-102.5,102.5,107.5,107.5,122.5,-127.5,127.5,127.5,235
10,NA,NA,PEO Sheeva,723,1976-01-01,24.707650273224044,W,NRU,A,92.34,+75 kg Women,0,1,71,XXVII OLYMPIC GAMES,2000-09-16,92.5,-97.5,97.5,97.5,122.5,-127.5,-127.5,122.5,220
NA,NA,NA,RUDENOK Vita,1042,1978-01-01,22.707650273224044,W,UKR,A,106.98,+75 kg Women,0,1,71,XXVII OLYMPIC GAMES,2000-09-16,105,110,115,115,NA,NA,NA,NA,NA
1,NA,NA,TAVAKOLI Hossein,1046,1978-01-10,22.683060109289617,M,IRI,A,104.7,105 kg Men,0,1,71,XXVII OLYMPIC GAMES,2000-09-16,190,-195,-195,190,230,-235,235,235,425
2,NA,NA,TSAGAEV Alan,954,1977-09-13,23.008219178082193,M,BUL,A,104.48,105 kg Men,0,1,71,XXVII OLYMPIC GAMES,2000-09-16,180,-185,187.5,187.5,230,235,-237.5,235,422.5
